,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
MA-516,3485,3228,3119,89.50%,3133,352,0,974,2855,621,9,34,48,3133,3031,3002,95.82%,46,722,892,2622,502,9,12,9,352,197,117,33.24%,82,233,119,0,22,39,0,0,0,,0,0,0,0,0,0,347,317,313,90.20%,63,127,220,0,52,31,1961,1929,1748,89.14%,183,571,1390,0,749,0,1352,907,896,815,89.86%,109,324,583,0,50,0
MA-519,274,258,238,86.86%,248,26,0,56,221,53,0,0,0,248,232,232,93.55%,19,0,47,201,47,0,0,0,26,26,6,23.08%,9,20,6,0,0,0,0,0,0,,0,0,0,0,0,0,38,38,0,0.00%,15,38,0,0,0,0,87,87,64,73.56%,4,15,72,0,26,0,64,6,6,0,0.00%,0,0,6,0,0,0
MD-501,2278,2195,1501,65.89%,1325,920,33,149,446,1832,0,336,36,1325,1257,979,73.89%,210,0,103,325,1000,0,68,25,920,905,496,53.91%,46,121,799,0,258,4,33,33,26,78.79%,0,0,33,0,10,7,590,481,481,81.53%,124,363,227,0,108,40,3351,3351,2418,72.16%,405,1306,2045,0,1036,83,1770,2733,2733,194,7.10%,412,1260,1473,0,10,0
MD-503,123,123,123,100.00%,107,16,0,21,64,59,0,6,0,107,107,107,100.00%,35,18,18,54,53,0,0,0,16,16,16,100.00%,3,10,6,0,6,0,0,0,0,,0,0,0,0,0,0,105,105,105,100.00%,22,84,21,0,0,8,189,189,189,100.00%,13,40,149,0,0,0,162,201,201,201,100.00%,47,148,53,0,0,0
MD-504,71,65,61,85.92%,71,0,0,12,33,38,0,0,0,71,65,61,85.92%,40,1,12,33,38,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,51,51,51,100.00%,10,38,13,0,0,0,113,113,113,100.00%,6,22,91,0,0,0,90,25,25,25,100.00%,6,18,7,0,0,0
MD-505,544,505,505,92.83%,512,32,0,44,326,218,0,0,0,512,473,473,92.38%,51,0,34,294,218,0,0,0,32,32,32,100.00%,10,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,246,246,246,100.00%,61,202,44,0,11,0,511,511,236,46.18%,57,154,357,0,275,0,511,0,0,0,,0,0,0,0,0,0
MD-506,97,79,79,81.44%,97,0,0,6,23,74,0,0,0,97,79,79,81.44%,0,6,6,23,74,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,43,43,43,100.00%,4,9,34,0,0,4,54,54,54,100.00%,3,7,47,0,20,4,1,0,0,0,,0,0,0,0,0,0
MD-511,98,98,98,100.00%,78,20,0,25,75,23,0,3,0,78,78,78,100.00%,52,26,20,57,21,0,3,0,20,20,20,100.00%,5,18,2,0,0,0,0,0,0,,0,0,0,0,0,0,185,185,175,94.59%,33,140,45,0,9,0,92,92,92,100.00%,12,39,53,0,0,0,2,3,3,3,100.00%,0,0,3,0,0,0
MD-513,323,306,306,94.74%,294,29,0,36,118,205,0,17,0,294,277,277,94.22%,56,28,22,95,199,0,17,0,29,29,29,100.00%,14,23,6,0,0,0,0,0,0,,0,0,0,0,0,0,123,121,121,98.37%,20,68,55,0,28,0,310,310,198,63.87%,42,130,180,0,112,0,123,0,0,0,,0,0,0,0,0,0
MD-514,1299,1091,948,72.98%,1038,261,0,180,763,536,0,60,50,1038,835,692,66.67%,187,124,122,596,442,0,0,44,261,256,256,98.08%,58,167,94,0,60,6,0,0,0,,0,0,0,0,0,0,373,361,355,95.17%,67,228,145,0,20,8,820,813,658,80.24%,150,455,365,0,155,0,636,8,8,8,100.00%,0,0,8,0,0,0
MD-600,525,525,525,100.00%,353,172,0,142,325,193,7,0,101,353,353,353,100.00%,0,0,99,234,117,2,0,20,172,172,172,100.00%,43,91,76,5,0,81,0,0,0,,0,0,0,0,0,0,82,58,58,70.73%,18,69,13,0,0,0,369,369,369,100.00%,61,163,206,0,0,12,218,0,0,0,,0,0,0,0,0,0
MD-601,613,567,450,73.41%,560,49,4,51,152,461,0,4,24,560,514,418,74.64%,0,222,43,131,429,0,0,15,49,49,28,57.14%,8,21,28,0,0,9,4,4,4,100.00%,0,0,4,0,4,0,478,478,478,100.00%,104,312,166,0,2,3,2112,2112,1997,94.55%,353,1187,925,0,127,0,37,134,134,134,100.00%,41,103,31,0,0,0
ME-500,4238,3974,1691,39.90%,3361,862,15,1447,2518,1694,26,61,133,3361,3191,913,27.16%,0,179,1330,2173,1174,14,14,65,862,768,763,88.52%,117,345,505,12,47,68,15,15,15,100.00%,0,0,15,0,0,0,521,508,508,97.50%,74,200,321,0,77,21,2262,2262,2241,99.07%,262,841,1421,0,290,0,218,559,442,442,79.07%,112,350,209,0,0,0
MI-500,1958,1001,776,39.63%,1474,484,0,326,1029,913,16,48,53,1474,897,717,48.64%,32,71,234,726,738,10,26,16,484,104,59,12.19%,92,303,175,6,22,37,0,0,0,,0,0,0,0,0,0,897,897,897,100.00%,187,629,268,0,105,6,450,450,271,60.22%,52,180,270,0,179,0,46,268,268,23,8.58%,62,194,74,0,0,0
MI-501,1288,1220,1220,94.72%,1019,234,35,98,365,918,5,200,140,1019,952,952,93.42%,125,54,71,306,711,2,65,59,234,233,233,99.57%,27,59,172,3,100,81,35,35,35,100.00%,0,0,35,0,35,0,726,721,721,99.31%,135,479,247,0,92,146,2883,2883,2522,87.48%,336,927,1956,0,607,34,2225,257,257,257,100.00%,51,199,58,0,0,0
MI-502,201,128,154,76.62%,134,64,3,43,152,49,0,16,0,134,109,109,81.34%,0,23,29,109,25,0,0,0,64,16,42,65.63%,14,43,21,0,16,0,3,3,3,100.00%,0,0,3,0,0,0,218,196,218,100.00%,48,166,52,0,11,0,548,548,430,78.47%,80,307,241,0,118,0,213,42,42,42,100.00%,7,22,20,0,0,0
MI-503,305,212,127,41.64%,252,53,0,58,121,178,6,1,8,252,200,115,45.63%,0,11,45,78,168,6,1,6,53,12,12,22.64%,13,43,10,0,0,2,0,0,0,,0,0,0,0,0,0,62,62,62,100.00%,9,30,32,0,23,8,251,251,111,44.22%,39,115,136,0,140,0,74,87,87,0,0.00%,21,69,18,0,0,0
MI-504,344,278,222,64.53%,248,96,0,70,235,97,12,0,34,248,196,140,56.45%,35,5,48,163,78,7,0,7,96,82,82,85.42%,22,72,19,5,0,27,0,0,0,,0,0,0,0,0,0,181,181,181,100.00%,38,141,40,0,20,5,625,625,544,87.04%,77,286,339,0,81,0,160,312,312,217,69.55%,60,259,53,0,0,0
MI-505,359,326,278,77.44%,271,88,0,38,161,187,11,18,81,271,238,238,87.82%,101,0,34,145,118,8,0,61,88,88,40,45.45%,4,16,69,3,18,20,0,0,0,,0,0,0,0,0,0,97,97,96,98.97%,22,59,38,0,7,38,295,295,294,99.66%,70,197,98,0,13,115,0,83,83,83,100.00%,18,69,14,0,0,51
MI-506,1149,971,971,84.51%,932,217,0,154,557,585,7,58,69,932,865,865,92.81%,90,68,106,405,520,7,18,35,217,106,106,48.85%,48,152,65,0,40,34,0,0,0,,0,0,0,0,0,0,290,290,290,100.00%,80,252,38,0,32,106,1076,1076,816,75.84%,98,339,737,0,271,34,409,220,220,101,45.91%,41,137,83,0,10,0
MI-507,618,503,503,81.39%,537,81,0,72,225,380,13,12,25,537,479,479,89.20%,0,0,44,160,364,13,0,13,81,24,24,29.63%,28,65,16,0,12,12,0,0,0,,0,0,0,0,0,0,73,73,73,100.00%,11,35,38,0,17,0,406,390,390,96.06%,74,235,171,0,0,0,166,138,138,138,100.00%,18,62,76,0,0,9
MI-508,536,514,514,95.90%,478,40,18,57,205,322,9,18,27,478,456,456,95.40%,0,131,48,180,294,4,0,4,40,40,40,100.00%,9,25,10,5,0,23,18,18,18,100.00%,0,0,18,0,18,0,118,98,98,83.05%,24,83,35,0,22,10,466,466,286,61.37%,31,114,352,0,189,0,151,18,18,18,100.00%,3,8,10,0,0,0
MI-509,216,156,156,72.22%,173,43,0,19,83,127,6,28,16,173,123,123,71.10%,110,4,17,78,89,6,5,6,43,33,33,76.74%,2,5,38,0,23,10,0,0,0,,0,0,0,0,0,0,224,224,224,100.00%,66,224,0,0,0,0,613,613,442,72.10%,41,131,482,0,169,9,433,72,72,2,2.78%,12,38,34,0,0,2
MI-510,389,292,292,75.06%,284,99,6,56,172,196,21,21,29,284,246,246,86.62%,0,3,38,117,152,15,21,17,99,40,40,40.40%,18,55,38,6,0,12,6,6,6,100.00%,0,0,6,0,0,0,79,42,42,53.16%,21,64,15,0,9,14,281,258,218,77.58%,39,146,135,0,40,0,105,49,49,0,0.00%,11,38,11,0,0,0
MI-511,223,153,143,64.13%,153,70,0,34,122,96,5,0,34,153,115,105,68.63%,0,0,19,64,89,0,0,9,70,38,38,54.29%,15,58,7,5,0,25,0,0,0,,0,0,0,0,0,0,29,29,29,100.00%,7,18,11,0,9,3,7,7,7,100.00%,0,0,7,0,0,0,7,0,0,0,,0,0,0,0,0,0
MI-512,127,110,110,86.61%,121,6,0,12,45,73,9,4,10,121,108,108,89.26%,55,7,11,42,71,8,4,8,6,2,2,33.33%,1,3,2,1,0,2,0,0,0,,0,0,0,0,0,0,62,62,62,100.00%,11,32,30,0,6,30,273,273,251,91.94%,55,164,109,0,22,0,20,41,41,0,0.00%,10,38,3,0,0,0
MI-514,256,201,201,78.52%,213,43,0,16,80,176,0,18,0,213,158,158,74.18%,1,0,15,77,136,0,18,0,43,43,43,100.00%,1,3,40,0,0,0,0,0,0,,0,0,0,0,0,0,6,6,6,100.00%,0,0,6,0,6,0,148,148,15,10.14%,11,28,120,0,133,0,1,5,5,0,0.00%,2,5,0,0,0,0
MI-515,231,213,213,92.21%,165,66,0,30,70,161,0,0,0,165,147,147,89.09%,0,0,27,65,100,0,0,0,66,66,66,100.00%,3,5,61,0,0,0,0,0,0,,0,0,0,0,0,0,32,32,32,100.00%,8,14,18,0,7,0,17,17,15,88.24%,4,4,13,0,2,0,0,27,27,27,100.00%,8,20,7,0,0,0
MI-516,171,125,125,73.10%,171,0,0,6,93,78,0,0,0,171,125,125,73.10%,30,0,6,93,78,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,27,27,27,100.00%,8,20,7,0,0,0,136,136,93,68.38%,30,70,66,0,45,0,85,74,74,74,100.00%,18,43,31,0,0,0
MI-517,100,100,61,61.00%,100,0,0,15,51,49,0,0,26,100,100,61,61.00%,0,0,15,51,49,0,0,26,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,54,54,54,100.00%,6,26,28,0,24,1,117,117,117,100.00%,15,57,60,0,0,0,114,0,0,0,,0,0,0,0,0,0
MI-518,88,37,37,42.05%,52,36,0,25,64,22,2,5,5,52,34,34,65.38%,0,0,12,31,19,2,5,2,36,3,3,8.33%,13,33,3,0,0,3,0,0,0,,0,0,0,0,0,0,11,11,11,100.00%,2,6,5,0,5,0,16,16,16,100.00%,1,2,14,0,0,0,16,16,16,0,0.00%,2,9,7,0,0,7
MI-519,213,171,116,54.46%,105,108,0,41,93,120,0,0,0,105,85,85,80.95%,0,0,20,42,63,0,0,0,108,86,31,28.70%,21,51,57,0,0,0,0,0,0,,0,0,0,0,0,0,128,80,80,62.50%,31,93,35,0,0,0,118,118,118,100.00%,14,44,74,0,0,0,48,45,45,45,100.00%,15,34,11,0,0,0
MI-523,61,45,45,73.77%,39,22,0,18,56,5,0,0,0,39,29,29,74.36%,0,0,12,36,3,0,0,0,22,16,16,72.73%,6,20,2,0,0,0,0,0,0,,0,0,0,0,0,0,39,39,39,100.00%,11,38,1,0,2,0,46,46,46,100.00%,10,29,17,0,0,0,46,5,5,0,0.00%,2,4,1,0,0,0
MN-500,2452,2310,1665,67.90%,1916,536,0,357,1213,1203,36,138,229,1916,1803,1317,68.74%,50,750,258,944,951,21,43,78,536,507,348,64.93%,99,269,252,15,95,151,0,0,0,,0,0,0,0,0,0,1122,1058,1058,94.30%,256,823,299,0,78,139,2780,2780,2074,74.60%,277,893,1887,0,588,81,421,5985,5975,5695,95.15%,623,2068,3894,23,53,227
MN-501,1607,1369,970,60.36%,1104,503,0,249,658,898,51,37,114,1104,900,720,65.22%,0,40,149,393,696,15,17,39,503,469,250,49.70%,100,265,202,36,20,75,0,0,0,,0,0,0,0,0,0,360,360,359,99.72%,93,286,74,0,22,33,2644,2589,2339,88.46%,272,921,1723,0,257,48,706,1371,1371,1175,85.70%,243,826,545,0,40,60
MN-502,552,440,362,65.58%,331,221,0,113,324,214,14,5,67,331,256,212,64.05%,57,14,60,171,146,14,5,35,221,184,150,67.87%,53,153,68,0,0,32,0,0,0,,0,0,0,0,0,0,171,171,171,100.00%,30,106,65,0,24,5,293,293,263,89.76%,46,137,156,0,41,0,256,909,909,713,78.44%,181,420,479,10,0,48
MN-503,778,620,532,68.38%,590,188,0,121,374,380,24,23,132,590,495,410,69.49%,12,38,93,290,276,24,16,95,188,125,122,64.89%,28,84,104,0,7,37,0,0,0,,0,0,0,0,0,0,412,400,400,97.09%,92,307,105,0,38,48,840,840,700,83.33%,116,272,568,0,140,61,147,786,786,585,74.43%,168,451,335,0,0,28
MN-504,84,69,73,86.90%,30,54,0,17,38,46,0,0,20,30,30,30,100.00%,0,3,4,10,20,0,0,1,54,39,43,79.63%,13,28,26,0,0,19,0,0,0,,0,0,0,0,0,0,28,28,28,100.00%,5,17,11,0,0,0,72,72,72,100.00%,15,30,42,0,10,0,10,136,130,115,84.56%,26,81,55,0,0,0
MN-505,840,689,308,36.67%,570,270,0,181,501,328,11,23,69,570,439,158,27.72%,30,40,117,349,211,10,7,27,270,250,150,55.56%,64,152,117,1,16,42,0,0,0,,0,0,0,0,0,0,194,163,194,100.00%,44,134,60,0,15,0,300,300,300,100.00%,41,113,187,0,75,0,78,535,527,470,87.85%,144,366,169,0,37,6
MN-506,509,458,427,83.89%,360,149,0,111,309,196,4,0,43,360,328,294,81.67%,24,9,68,190,166,4,0,4,149,130,133,89.26%,43,119,30,0,0,39,0,0,0,,0,0,0,0,0,0,124,114,114,91.94%,30,88,34,2,0,44,187,187,187,100.00%,34,131,56,0,1,6,50,557,557,513,92.10%,131,355,202,0,0,3
MN-508,179,148,153,85.47%,106,73,0,37,100,79,0,2,23,106,80,80,75.47%,10,47,21,56,50,0,2,0,73,68,73,100.00%,16,44,29,0,0,23,0,0,0,,0,0,0,0,0,0,78,74,78,100.00%,20,60,18,0,3,0,566,566,508,89.75%,83,240,326,0,49,5,479,137,137,85,62.04%,33,110,27,0,0,0
MN-509,409,342,297,72.62%,239,170,0,69,190,205,14,16,47,239,190,165,69.04%,0,4,33,90,142,7,3,14,170,152,132,77.65%,36,100,63,7,13,33,0,0,0,,0,0,0,0,0,0,69,69,69,100.00%,15,50,19,0,2,7,657,657,622,94.67%,72,232,425,0,26,39,165,599,599,528,88.15%,114,330,269,0,0,15
MN-511,159,135,107,67.30%,122,37,0,43,105,54,0,0,23,122,104,76,62.30%,0,2,34,75,47,0,0,9,37,31,31,83.78%,9,30,7,0,0,14,0,0,0,,0,0,0,0,0,0,119,97,119,100.00%,30,92,27,0,4,0,162,162,162,100.00%,28,112,50,0,0,20,1,72,72,46,63.89%,23,49,23,0,0,0
MO-500,407,360,191,46.93%,214,193,0,56,164,203,40,17,184,214,193,97,45.33%,24,0,34,110,85,19,0,34,193,167,94,48.70%,22,54,118,21,17,150,0,0,0,,0,0,0,0,0,0,140,140,140,100.00%,36,111,29,0,5,11,425,425,425,100.00%,64,224,201,0,188,0,425,290,290,0,0.00%,68,230,60,0,40,10
MO-501,1210,1095,1010,83.47%,834,376,0,140,328,880,2,110,43,834,760,714,85.61%,12,50,98,212,622,0,0,21,376,335,296,78.72%,42,116,258,2,110,22,0,0,0,,0,0,0,0,0,0,319,246,319,100.00%,49,184,135,0,23,8,1797,1797,1765,98.22%,233,747,1050,0,392,16,1390,468,468,5,1.07%,37,146,322,0,5,0
MO-503,86,56,56,65.12%,63,23,0,25,65,21,0,5,12,63,33,33,52.38%,0,154,20,52,11,0,0,6,23,23,23,100.00%,5,13,10,0,5,6,0,0,0,,0,0,0,0,0,0,26,26,26,100.00%,7,17,9,0,1,17,264,264,264,100.00%,12,41,223,0,58,4,50,120,120,120,100.00%,1,2,118,0,1,10
MO-600,460,259,236,51.30%,413,47,0,66,222,222,16,11,16,413,223,200,48.43%,0,193,51,185,212,16,11,16,47,36,36,76.60%,15,37,10,0,0,0,0,0,0,,0,0,0,0,0,0,268,227,227,84.70%,59,197,71,0,73,10,167,167,62,37.13%,14,35,132,0,105,3,167,161,161,0,0.00%,33,101,60,0,0,0
MO-602,289,244,79,27.34%,192,97,0,32,93,183,13,40,28,192,147,27,14.06%,0,0,15,50,130,12,15,12,97,97,52,53.61%,17,43,53,1,25,16,0,0,0,,0,0,0,0,0,0,63,63,63,100.00%,15,50,13,0,7,0,206,206,88,42.72%,12,37,169,0,118,0,206,0,0,0,,0,0,0,0,0,0
MO-603,164,98,98,59.76%,72,74,18,34,97,67,0,0,0,72,29,29,40.28%,35,1,18,52,20,0,0,0,74,51,51,68.92%,16,45,29,0,0,0,18,18,18,100.00%,0,0,18,0,0,0,117,37,37,31.62%,30,97,20,0,14,0,187,173,130,69.52%,22,74,113,0,43,0,130,86,86,86,100.00%,20,72,14,0,0,0
MO-604,2078,1828,1678,80.75%,1084,969,25,284,920,1148,10,325,97,1084,834,745,68.73%,0,0,110,483,601,0,0,20,969,969,908,93.70%,174,437,522,10,300,77,25,25,25,100.00%,0,0,25,0,25,0,332,290,224,67.47%,164,269,63,0,68,36,1724,1724,1724,100.00%,305,782,942,0,411,0,1094,0,0,0,,0,0,0,0,0,0
MO-606,1568,768,497,31.70%,1196,364,8,260,870,684,14,92,60,1196,479,419,35.03%,137,77,178,615,573,8,92,12,364,281,70,19.23%,82,255,103,6,0,48,8,8,8,100.00%,0,0,8,0,0,0,352,301,296,84.09%,71,226,126,0,75,22,1105,1105,715,64.71%,143,435,670,0,390,0,1029,330,330,0,0.00%,74,217,113,0,0,0
MS-500,373,373,373,100.00%,295,78,0,14,38,335,0,0,0,295,295,295,100.00%,0,3,14,38,257,0,0,0,78,78,78,100.00%,0,0,78,0,0,0,0,0,0,,0,0,0,0,0,0,270,270,270,100.00%,48,116,154,0,7,0,396,396,396,100.00%,74,193,203,0,0,15,278,0,0,0,,0,0,0,0,0,0
MS-501,328,192,142,43.29%,288,40,0,53,171,153,4,24,12,288,152,102,35.42%,0,16,53,171,113,4,0,4,40,40,40,100.00%,0,0,40,0,24,8,0,0,0,,0,0,0,0,0,0,554,554,554,100.00%,65,241,313,0,97,0,278,278,278,100.00%,13,41,237,0,146,0,82,151,151,151,100.00%,0,0,151,0,0,0
MS-503,125,27,27,21.60%,51,74,0,31,92,33,0,0,11,51,8,8,15.69%,0,0,11,37,14,0,0,0,74,19,19,25.68%,20,55,19,0,0,11,0,0,0,,0,0,0,0,0,0,265,231,231,87.17%,23,67,198,0,53,43,30,30,30,100.00%,1,5,25,0,8,0,30,161,161,161,100.00%,25,97,64,0,2,6
MT-500,1787,1524,1007,56.35%,1245,542,0,291,791,973,23,126,80,1245,1069,852,68.43%,599,27,188,483,762,0,39,21,542,455,155,28.60%,103,308,211,23,87,59,0,0,0,,0,0,0,0,0,0,343,258,258,75.22%,61,185,158,0,101,46,905,905,261,28.84%,174,319,586,0,562,5,279,250,250,0,0.00%,125,250,0,0,0,0
NC-500,267,238,238,89.14%,237,30,0,22,87,180,0,24,0,237,208,208,87.76%,120,0,22,87,150,0,0,0,30,30,30,100.00%,0,0,30,0,24,0,0,0,0,,0,0,0,0,0,0,152,99,99,65.13%,27,102,50,0,23,2,325,325,120,36.92%,45,126,199,0,205,0,120,90,90,0,0.00%,27,90,0,0,0,0
NC-501,491,471,325,66.19%,209,282,0,40,118,373,0,225,5,209,189,59,28.23%,0,100,21,64,145,0,41,0,282,282,266,94.33%,19,54,228,0,184,5,0,0,0,,0,0,0,0,0,0,108,108,108,100.00%,10,31,77,0,76,0,554,554,554,100.00%,25,44,510,0,297,0,257,98,66,66,67.35%,13,41,57,0,50,2
NC-502,220,220,220,100.00%,176,44,0,28,92,128,0,56,0,176,176,176,100.00%,0,37,28,92,84,0,12,0,44,44,44,100.00%,0,0,44,0,44,0,0,0,0,,0,0,0,0,0,0,92,65,69,75.00%,12,37,55,0,5,0,356,356,346,97.19%,30,100,256,0,202,0,154,316,316,73,23.10%,4,11,305,0,0,0
NC-503,2857,2162,1404,49.14%,2473,384,0,365,1175,1672,10,42,21,2473,1787,1230,49.74%,98,94,276,918,1552,3,19,6,384,375,174,45.31%,89,257,120,7,23,15,0,0,0,,0,0,0,0,0,0,515,513,479,93.01%,96,302,213,0,98,0,1617,1617,1378,85.22%,228,786,831,0,296,0,1268,1237,1237,0,0.00%,249,874,363,0,0,0
NC-504,371,319,319,85.98%,300,65,6,46,178,180,13,53,27,300,248,248,82.67%,180,3,44,174,117,9,0,9,65,65,65,100.00%,2,4,57,4,47,18,6,6,6,100.00%,0,0,6,0,6,0,79,79,79,100.00%,19,55,24,0,6,16,449,449,236,52.56%,54,180,269,0,225,0,186,51,51,0,0.00%,8,19,32,0,0,0
NC-505,1811,1683,1585,87.52%,1354,447,10,92,653,1149,9,96,9,1354,1242,1224,90.40%,0,7,53,498,847,9,56,9,447,431,351,78.52%,39,155,292,0,30,0,10,10,10,100.00%,0,0,10,0,10,0,968,926,926,95.66%,224,749,219,0,62,30,1455,1455,1081,74.30%,117,421,1034,0,386,0,893,744,744,699,93.95%,177,614,130,0,0,0
NC-506,341,292,292,85.63%,238,103,0,98,125,207,9,16,61,238,189,189,79.41%,0,0,68,88,141,9,0,29,103,103,103,100.00%,30,37,66,0,16,32,0,0,0,,0,0,0,0,0,0,10,10,10,100.00%,3,10,0,0,0,0,256,256,140,54.69%,48,112,144,0,109,31,113,0,0,0,,0,0,0,0,0,0
NC-507,470,431,431,91.70%,375,95,0,93,337,127,6,0,14,375,336,336,89.60%,0,114,61,242,127,6,0,6,95,95,95,100.00%,32,95,0,0,0,8,0,0,0,,0,0,0,0,0,0,270,256,256,94.81%,69,224,45,1,22,1,686,686,547,79.74%,65,179,507,0,156,0,527,66,66,66,100.00%,0,0,66,0,0,0
NC-509,242,205,119,49.17%,216,26,0,35,113,126,3,0,30,216,179,119,55.09%,60,4,27,94,119,3,0,30,26,26,0,0.00%,8,19,7,0,0,0,0,0,0,,0,0,0,0,0,0,84,84,84,100.00%,36,84,0,0,14,0,133,133,133,100.00%,58,130,3,0,0,0,0,0,0,0,,0,0,0,0,0,0
NC-511,95,90,76,80.00%,55,40,0,21,95,0,0,0,0,55,50,36,65.45%,0,0,9,55,0,0,0,0,40,40,40,100.00%,12,40,0,0,0,0,0,0,0,,0,0,0,0,0,0,99,99,99,100.00%,10,37,62,0,99,0,235,235,68,28.94%,39,118,117,0,167,0,70,0,0,0,,0,0,0,0,0,0
NC-513,101,98,98,97.03%,49,52,0,10,34,67,0,0,0,49,46,46,93.88%,0,19,10,34,15,0,0,0,52,52,52,100.00%,0,0,52,0,0,0,0,0,0,,0,0,0,0,0,0,43,19,19,44.19%,12,34,9,0,1,0,43,43,24,55.81%,3,11,32,0,19,0,24,282,282,0,0.00%,0,0,282,0,0,0
NC-516,204,137,103,50.49%,168,36,0,29,103,101,0,0,0,168,123,74,44.05%,0,0,21,78,90,0,0,0,36,14,29,80.56%,8,25,11,0,0,0,0,0,0,,0,0,0,0,0,0,48,32,42,87.50%,10,26,22,0,0,0,54,48,48,88.89%,5,19,35,0,1,0,4,97,97,0,0.00%,20,73,24,0,0,0
ND-500,823,484,437,53.10%,665,132,26,95,300,513,10,35,49,665,426,405,60.90%,36,34,57,216,439,10,3,15,132,32,6,4.55%,38,84,48,0,6,34,26,26,26,100.00%,0,0,26,0,26,0,129,83,79,61.24%,28,71,58,0,55,0,494,458,255,51.62%,39,113,381,0,203,0,237,98,80,11,11.22%,21,55,43,0,0,0
NE-500,783,636,603,77.01%,408,375,0,112,360,415,8,0,47,408,289,256,62.75%,0,0,43,161,241,6,0,6,375,347,347,92.53%,69,199,174,2,0,41,0,0,0,,0,0,0,0,0,0,425,425,425,100.00%,86,294,131,0,128,56,140,140,140,100.00%,30,75,65,0,18,44,88,55,55,55,100.00%,20,45,10,0,0,0
NE-501,1582,1474,1474,93.17%,1272,310,0,122,452,1123,7,69,34,1272,1184,1184,93.08%,0,35,91,328,942,2,20,9,310,290,290,93.55%,31,124,181,5,49,25,0,0,0,,0,0,0,0,0,0,281,259,259,92.17%,29,85,196,0,18,34,808,808,808,100.00%,67,171,637,0,351,21,786,319,319,319,100.00%,63,155,164,0,20,0
